[2018-09-14 07:17:55] app_routes.INFO: No routes found for "/favicon.ico". [] []
[2018-09-14 07:18:27] app_routes.INFO: No routes found for "/favicon.ico". [] []
[2018-09-14 07:18:40] app_routes.INFO: No routes found for "/favicon.ico". [] []
[2018-09-14 07:18:58] app_routes.INFO: No routes found for "/favicon.ico". [] []
[2018-09-14 07:19:11] app_routes.INFO: No routes found for "/favicon.ico". [] []
[2018-09-14 07:19:35] app_routes.INFO: No routes found for "/favicon.ico". [] []
[2018-09-14 07:20:13] app_routes.INFO: No routes found for "/favicon.ico". [] []
[2018-09-14 07:21:10] app_routes.INFO: No routes found for "/favicon.ico". [] []
[2018-09-14 07:21:51] app_routes.INFO: No routes found for "/favicon.ico". [] []
[2018-09-14 07:22:04] app_routes.INFO: No routes found for "/favicon.ico". [] []
[2018-09-14 07:22:17] app_routes.INFO: No routes found for "/favicon.ico". [] []
[2018-09-14 07:22:23] app_routes.INFO: No routes found for "/favicon.ico". [] []
[2018-09-14 07:22:44] app_routes.INFO: No routes found for "/favicon.ico". [] []
[2018-09-14 07:22:57] app_routes.INFO: No routes found for "/favicon.ico". [] []
[2018-09-14 07:23:04] app_routes.INFO: No routes found for "/favicon.ico". [] []
[2018-09-14 07:23:12] app_routes.INFO: No routes found for "/favicon.ico". [] []
[2018-09-14 07:23:35] app_routes.INFO: No routes found for "/favicon.ico". [] []
[2018-09-14 07:23:54] app_routes.INFO: No routes found for "/favicon.ico". [] []
[2018-09-14 07:28:24] app_routes.INFO: No routes found for "/favicon.ico". [] []
[2018-09-14 07:30:29] app_routes.INFO: No routes found for "/test". [] []
[2018-09-14 07:30:29] app_routes.INFO: No routes found for "/favicon.ico". [] []
[2018-09-14 07:30:34] app_routes.INFO: No routes found for "/favicon.ico". [] []
[2018-09-14 07:32:30] app_routes.INFO: No routes found for "/favicon.ico". [] []
[2018-09-14 07:46:14] app_routes.INFO: No routes found for "/favicon.ico". [] []
[2018-09-14 07:47:06] app_routes.INFO: No routes found for "/favicon.ico". [] []
[2018-09-14 07:48:19] app_routes.INFO: No routes found for "/favicon.ico". [] []
[2018-09-14 07:48:48] app_routes.INFO: No routes found for "/favicon.ico". [] []
[2018-09-14 07:49:54] app_routes.INFO: No routes found for "/favicon.ico". [] []
[2018-09-14 07:50:10] app_routes.INFO: No routes found for "/favicon.ico". [] []
[2018-09-14 07:50:52] app_routes.INFO: No routes found for "/favicon.ico". [] []
[2018-09-14 07:51:38] app_routes.INFO: No routes found for "/favicon.ico". [] []
[2018-09-14 07:52:22] app_routes.INFO: No routes found for "/favicon.ico". [] []
[2018-09-14 07:52:28] app_routes.INFO: No routes found for "/favicon.ico". [] []
[2018-09-14 08:18:13] app_routes.INFO: No routes found for "/favicon.ico". [] []
[2018-09-14 08:20:31] app_routes.INFO: No routes found for "/favicon.ico". [] []
[2018-09-14 08:21:54] app_routes.INFO: No routes found for "/favicon.ico". [] []
[2018-09-14 08:22:16] app_routes.INFO: No routes found for "/favicon.ico". [] []
[2018-09-14 08:22:31] app_routes.INFO: No routes found for "/test". [] []
[2018-09-14 08:22:33] app_routes.INFO: No routes found for "/favicon.ico". [] []
[2018-09-14 08:22:38] app_routes.INFO: No routes found for "/favicon.ico". [] []
[2018-09-14 08:23:00] app_routes.INFO: No routes found for "/favicon.ico". [] []
[2018-09-14 08:34:57] app_routes.INFO: No routes found for "/favicon.ico". [] []
[2018-09-14 08:35:09] app_routes.INFO: No routes found for "/favicon.ico". [] []
[2018-09-14 08:35:57] app_routes.INFO: No routes found for "/favicon.ico". [] []
[2018-09-14 08:43:42] app_routes.INFO: No routes found for "/favicon.ico". [] []
[2018-09-14 08:53:16] app_routes.INFO: View [welcome] not found. [] []
[2018-09-14 08:53:16] app_routes.INFO: No routes found for "/favicon.ico". [] []
[2018-09-14 08:55:40] app_routes.INFO: No routes found for "/favicon.ico". [] []
[2018-09-14 08:56:18] app_routes.INFO: Call to undefined function app() (View: D:\phpStudy\PHPTutorial\WWW\aproject\resource\views\welcome.blade.php) [] []
[2018-09-14 08:56:18] app_routes.INFO: No routes found for "/favicon.ico". [] []
[2018-09-14 08:58:12] app_routes.INFO: Class welcome does not exist [] []
[2018-09-14 08:58:12] app_routes.INFO: No routes found for "/favicon.ico". [] []
[2018-09-14 09:00:34] app_routes.INFO: Call to undefined function app() (View: D:\phpStudy\PHPTutorial\WWW\aproject\resource\views\welcome.blade.php) [] []
[2018-09-14 09:00:34] app_routes.INFO: No routes found for "/favicon.ico". [] []
[2018-09-14 09:04:32] app_routes.INFO: Call to undefined function app() (View: D:\phpStudy\PHPTutorial\WWW\aproject\resource\views\welcome.blade.php) [] []
[2018-09-14 09:04:32] app_routes.INFO: No routes found for "/favicon.ico". [] []
[2018-09-14 09:04:33] app_routes.INFO: Call to undefined function app() (View: D:\phpStudy\PHPTutorial\WWW\aproject\resource\views\welcome.blade.php) [] []
[2018-09-14 09:04:33] app_routes.INFO: No routes found for "/favicon.ico". [] []
[2018-09-14 09:47:03] app_routes.INFO: No routes found for "/favicon.ico". [] []
[2018-09-14 09:47:06] app_routes.INFO: No routes found for "/favicon.ico". [] []
[2018-09-14 10:33:20] app_routes.INFO: No routes found for "/favicon.ico". [] []
[2018-09-14 10:34:13] app_routes.INFO: No routes found for "/favicon.ico". [] []
[2018-09-14 11:44:36] app_routes.INFO: No routes found for "/favicon.ico". [] []
